year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,300000.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,248480.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,371535.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,บาท,"ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,20092.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,รวมทั้งสิ้น,รวมทั้งสิ้น,84.79,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,76.84,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,93.41,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,สมุทรปราการ,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,.00,ร้อยละ,"ศูนย์จุดศูนย์ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
