Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,379,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,1112,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,23062,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,6164,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,3113,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,949,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,รวม,รวม,1357211,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,91186,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,58395,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,689759,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,143220,ครัวเรือน,สำนักงานสถิติแห่งชาติ
